author_slug,first_name,last_name,birth_date,death_date,biography,portrait
william-shakespeare,William,Shakespeare,1564-04-26,1616-04-23,"William Shakespeare byl anglický dramatik, básník a herec, považovaný za nejvýznamnějšího autora anglické literatury a jednoho z největších dramatiků světových dějin. Je autorem tragédií, komedií i historických her, mezi něž patří Romeo a Julie, Hamlet nebo Macbeth. Jeho dílo výrazně ovlivnilo vývoj evropského dramatu.",authors/portraits/william-shakespeare.jpg
giovanni-boccaccio,Giovanni,Boccaccio,1313-06-16,1375-09-21,"Giovanni Boccaccio byl italský spisovatel a humanista období rané renesance. Proslavil se především souborem novel Dekameron, který realisticky zachycuje lidské osudy a společenské poměry své doby. Patří k zakladatelům italské prózy a významně ovlivnil evropskou literaturu.",authors/portraits/giovanni-boccaccio.jpg
carlo-goldoni,Carlo,Goldoni,1707-02-25,1794-02-06,Carlo Goldoni byl italský dramatik a reformátor komedie. Oprostil italské divadlo od improvizované commedie dell’arte a nahradil ji realistickými postavami a dialogy. Mezi jeho nejznámější hry patří Sluha dvou pánů.",authors/portraits/carlo-goldoni.jpg
moliere,Moliere,,1622-01-15,1673-02-17,"Molière, vlastním jménem Jean-Baptiste Poquelin, byl francouzský dramatik a herec období klasicismu. Proslul komediemi zesměšňujícími pokrytectví a lidské slabosti, například Tartuffe nebo Lakomec. Je považován za jednoho z nejvýznamnějších autorů světové komedie.",authors/portraits/moliere.jpg
mary-shelleyova,Mary,Shelleyová,1797-08-30,1851-02-01,"Mary Shelleyová byla anglická spisovatelka romantismu, známá především jako autorka románu Frankenstein. Ve svém díle spojila prvky gotického románu, filozofie a počátků vědeckofantastické literatury. Patří k průkopníkům science fiction.",authors/portraits/mary-shelleyova.jpg
alexandr-sergejevic-puskin,Alexandr Sergejevič,Puškin,1799-05-26,1837-01-29,"Alexandr Sergejevič Puškin byl ruský básník, prozaik a dramatik, zakladatel moderní ruské literatury. Je autorem veršovaného románu Evžen Oněgin a mnoha básní a dramat. Jeho tvorba významně ovlivnila ruský jazyk i literaturu.",authors/portraits/alexandr-sergejevic-puskin.jpg
nikolaj-vasiljevic-gogol,Nikolaj Vasiljevič,Gogol,1809-03-19,1852-02-21,Nikolaj Vasiljevič Gogol byl ruský prozaik a dramatik ukrajinského původu. Ve svých dílech kritizoval byrokracii a společenské nešvary carského Ruska. Je autorem komedie Revizor a románu Mrtvé duše.",authors/portraits/nikolaj-vasiljevic-gogol.jpg
emile-zola,Emile,Zola,1840-04-02,1902-09-29,"Émile Zola byl francouzský spisovatel a hlavní představitel literárního naturalismu. Ve svém rozsáhlém románovém cyklu Rougon-Macquartové zobrazil francouzskou společnost 19. století. Aktivně vystupoval také v politických otázkách, například v Dreyfusově aféře.",authors/portraits/emile-zola.jpg
edgar-allan-poe,Edgar Allan,Poe,1809-01-19,1849-10-07,"Edgar Allan Poe byl americký básník a prozaik, představitel romantismu a průkopník detektivní a hororové literatury. Proslul povídkami jako Havran či Vraždy v ulici Morgue. Jeho dílo se vyznačuje temnou atmosférou a psychologickou hloubkou.",authors/portraits/edgar-allan-poe.jpg
herbert-george-wells,Herbert George,Wells,1866-09-21,1946-08-13,"Herbert George Wells byl britský spisovatel a publicista, jeden z průkopníků science fiction. Je autorem románů Válka světů, Stroj času či Neviditelný muž. Ve svých dílech reflektoval vědecký pokrok i společenské otázky moderní doby.",authors/portraits/herbert-george-wells.jpg
