book_slug,title,subtitle,isbn,publication_year,language,description,cover_image,copies_total,is_available
romeo-a-julie,Romeo a Julie,,9788000000001,2016,cs,"Tragický příběh lásky dvou mladých lidí z nepřátelských rodin v italské Veroně. Jejich tajný vztah končí sérií nedorozumění a smrtí obou milenců.",,2,true
hamlet,Hamlet,,9788000000002,2014,cs,"Dánský princ Hamlet se snaží pomstít smrt svého otce, kterého zavraždil jeho strýc. Drama zkoumá otázky viny, svědomí, moci a smyslu lidského jednání.",,2,true
zkroceni-zle-zeny,Zkrocení zlé ženy,,9788000000003,2013,cs,"Komedie o svérázné Kateřině, kterou se odhodlá zkrotit sebevědomý Petruchio. Hra s humorem a nadsázkou rozvíjí téma manželství a vztahů mezi muži a ženami.",,2,true
vesele-panicky-windsorske,Veselé paničky windsorské,,9788000000004,2012,cs,"Komedie o rytíři Falstaffovi, který se snaží svést dvě vdané ženy. Ty jej však zesměšní a připraví mu řadu komických pastí.",,2,true
dekameron,Dekameron,,9788000000005,2008,cs,"Soubor sta novel vyprávěných skupinou mladých lidí, kteří se ukryli před morem. Příběhy zachycují lásku, lidské slabosti i humor každodenního života.",,2,true
sluha-dvou-panu,Sluha dvou pánů,,9788000000006,2010,cs,"Komedie o vychytralém sluhovi Truffaldinovi, který se snaží sloužit dvěma pánům zároveň. Záměny, nedorozumění a rychlé dialogy vytvářejí dynamickou frašku.",,2,true
tartuffe,Tartuffe,,9788000000007,2005,cs,"Satirická komedie o pokrytci Tartuffovi, který si získá důvěru bohatého Orgona a snaží se ovládnout jeho rodinu. Dílo kritizuje náboženské pokrytectví.",,2,true
lakomec,Lakomec,,9788000000008,2006,cs,"Komedie o Harpagonovi, posedlém hromaděním majetku. Jeho chorobná lakota narušuje vztahy v rodině i lásku jeho dětí.",,2,true
zdravy-nemocny,Zdravý nemocný,,9788000000009,2007,cs,"Komedie o hypochondrovi Arganovi, který je posedlý lékaři a vlastními nemocemi. Satira zesměšňuje dobovou medicínu i lidskou důvěřivost.",,2,true
frankenstein,Frankenstein,,9788000000010,2012,cs,"Mladý vědec Viktor Frankenstein stvoří umělého člověka, který se po odmítnutí společností obrací proti svému tvůrci. Román zkoumá hranice vědy a odpovědnost člověka.",,2,true
evzen-onegin,Evžen Oněgin,,9788000000011,2003,cs,"Veršovaný román o znuděném šlechtici Oněginovi a citlivé Taťáně. Příběh nenaplněné lásky zachycuje společenské prostředí carského Ruska.",,2,true
revizor,Revizor,,9788000000012,2009,cs,"Satirická komedie o úřednících malého města, kteří si spletou bezvýznamného mladíka s vládním inspektorem. Dílo odhaluje korupci a pokrytectví.",,2,true
zabijak,Zabiják,,9788000000013,2007,cs,"Naturalistický román o mladém muži, který pod vlivem prostředí a dědičnosti sklouzne ke zločinu. Dílo analyzuje sociální podmínky a morální rozklad společnosti.",,2,true
povidky,Povídky,,9788000000014,2015,cs,"Obsah díla",,2,true
valka-svetu,Válka světů,,9788000000015,2006,cs,"Román o invazi Marťanů na Zemi, která odhalí zranitelnost lidské civilizace. Dílo patří k základům moderní science fiction.",,2,true
ocelove-mesto,Ocelové město,,9788000000016,2004,cs,"Dobrodružný román o záhadném technickém městě, kde se hromadí zbraně k ovládnutí světa. Příběh spojuje vědu, fantazii a morální varování.",,2,true
drakula,Drákula,,9788000000017,2011,cs,"Gotický román o transylvánském hraběti, který šíří zlo a strach. Příběh sleduje boj skupiny lidí proti temným silám upíra.",,2,true
podivny-pripad-doktora-jekylla-a-pana-hyda,Podivný případ doktora Jekylla a pana Hyda,,9788000000018,2014,cs,"Novela o lékaři, který experimentem rozdělí svou osobnost na dobrou a zlou stránku. Dílo zkoumá dualitu lidské povahy.",,2,true
obraz-doriana-graye,Obraz Doriana Graye,,9788000000019,2008,cs,"Příběh mladíka, jehož portrét stárne a nese následky jeho hříchů místo něj. Román řeší otázky krásy, morálky a odpovědnosti.",,2,true
